Entity,Year,Fossil by continent
Australia,2004,1347.752808
Australia,2005,1349.514038
Australia,2006,1408.571289
Australia,2007,1446.270874
Australia,2008,1475.356934
Australia,2009,1450.366455
Australia,2010,1443.765259
Australia,2011,1467.059814
Australia,2012,1445.497925
Australia,2013,1451.018066
Australia,2014,1469.526001
Australia,2015,1498.947754
Australia,2016,1490.494141
Australia,2017,1492.249512
Australia,2018,1486.674561
Australia,2019,1529.809082
Australia,2020,1421.648926
Australia,2021,1383.390137
Austria,1965,141.9410248
Austria,1966,147.0774841
Austria,1967,148.0306854
Austria,1968,160.4687195
Austria,1969,172.4915466
Austria,1970,191.195816
Austria,1971,203.34729
Austria,1972,210.7065125
Austria,1973,224.7087402
Austria,1974,215.8024292
Austria,1975,210.7014313
Austria,1976,230.0814362
Austria,1977,217.9071503
Austria,1978,230.4401398
Austria,1979,239.1352234
Austria,1980,234.7961426
Austria,1981,220.3049927
Austria,1982,209.9616089
Austria,1983,209.9926758
Austria,1984,218.0747375
Austria,1985,221.7925262
Austria,1986,220.9420624
Austria,1987,226.4855652
Austria,1988,221.3968811
Austria,1989,223.7100677
Austria,1990,238.2751465
Austria,1991,254.5411072
Austria,1992,238.591156
Austria,1993,239.1345978
Austria,1994,240.441925
Austria,1995,251.357605
Austria,1996,261.1072998
Austria,1997,262.8251343
Austria,1998,265.2139893
Austria,1999,264.1488342
Austria,2000,262.4335022
Austria,2001,280.4486694
Austria,2002,282.8848572
Austria,2003,307.1138306
Austria,2004,302.3969727
Austria,2005,306.3413696
Austria,2006,300.4395752
Austria,2007,284.2265015
Austria,2008,288.2121887
Austria,2009,267.1595459
Austria,2010,287.3066101
Austria,2011,272.5122681
Austria,2012,265.331665
Austria,2013,266.2495422
Austria,2014,250.1621857
Austria,2015,257.0770569
Austria,2016,262.8751831
Austria,2017,273.5346985
Austria,2018,266.8460693
Austria,2019,275.723999
Austria,2020,247.1552734
Austria,2021,257.4906006
Azerbaijan,1985,231.0692749
Azerbaijan,1986,250.4560242
Azerbaijan,1987,242.6443787
Azerbaijan,1988,243.1395569
Azerbaijan,1989,247.9870758
Azerbaijan,1990,255.6485291
Azerbaijan,1991,245.1490173
Azerbaijan,1992,209.227066
Azerbaijan,1993,178.8065491
Azerbaijan,1994,165.4533997
Azerbaijan,1995,156.0469208
Azerbaijan,1996,127.195816
Azerbaijan,1997,121.0922699
Azerbaijan,1998,120.8760834
Azerbaijan,1999,121.6434021
Azerbaijan,2000,127.0949554
Azerbaijan,2001,123.0816269
Azerbaijan,2002,119.5339508
Azerbaijan,2003,128.5592804
Azerbaijan,2004,145.9589691
Azerbaijan,2005,158.2202301
Azerbaijan,2006,156.9268341
Azerbaijan,2007,141.7618713
Azerbaijan,2008,143.6064148
Azerbaijan,2009,126.0128174
Azerbaijan,2010,121.2811737
Azerbaijan,2011,137.9841919
Azerbaijan,2012,144.6187744
Azerbaijan,2013,149.5216522
Azerbaijan,2014,152.8601074
Azerbaijan,2015,166.6032562
Azerbaijan,2016,164.0557861
Azerbaijan,2017,161.4024811
Azerbaijan,2018,166.0417023
Azerbaijan,2019,175.8238831
Azerbaijan,2020,173.8795471
Azerbaijan,2021,179.2123718
Bangladesh,1971,12.88940525
Bangladesh,1972,14.67312908
Bangladesh,1973,18.50148964
Bangladesh,1974,20.02800179
Bangladesh,1975,20.04186249
Bangladesh,1976,23.43225861
Bangladesh,1977,24.14600754
Bangladesh,1978,25.52768707
Bangladesh,1979,28.05914307
Bangladesh,1980,33.02645874
Bangladesh,1981,34.99157715
Bangladesh,1982,39.094841
Bangladesh,1983,38.23266602
Bangladesh,1984,40.7901001
Bangladesh,1985,46.08888626
Bangladesh,1986,51.2059288
Bangladesh,1987,56.45578384
Bangladesh,1988,62.58040619
Bangladesh,1989,66.89381409
Bangladesh,1990,71.24242401
Bangladesh,1991,68.7766571
Bangladesh,1992,75.35678864
Bangladesh,1993,83.63790131
Bangladesh,1994,88.1855011
Bangladesh,1995,106.0086212
Bangladesh,1996,110.0172424
Bangladesh,1997,115.7647247
Bangladesh,1998,123.0013885
Bangladesh,1999,124.5221939
Bangladesh,2000,133.9060364
Bangladesh,2001,152.6677551
Bangladesh,2002,158.3249207
Bangladesh,2003,167.9438477
Bangladesh,2004,173.8006744
Bangladesh,2005,187.6044312
Bangladesh,2006,203.4405212
Bangladesh,2007,208.2745667
Bangladesh,2008,219.9329071
Bangladesh,2009,243.4137268
Bangladesh,2010,248.3739319
Bangladesh,2011,269.6794434
Bangladesh,2012,289.0583496
Bangladesh,2013,297.9553223
Bangladesh,2014,310.5682983
Bangladesh,2015,360.5583191
Bangladesh,2016,366.6845093
Bangladesh,2017,380.7128296
Bangladesh,2018,403.8499146
Bangladesh,2019,449.5296936
Bangladesh,2020,435.9186096
Bangladesh,2021,456.3677673
Belarus,1985,407.9845276
Belarus,1986,465.7792053
Belarus,1987,472.5601807
Belarus,1988,479.3458252
Belarus,1989,463.6015015
Belarus,1990,465.9133301
Belarus,1991,464.8529663
Belarus,1992,403.1054077
Belarus,1993,337.0559998
Belarus,1994,281.7573547
Belarus,1995,250.6469421
Belarus,1996,257.0908813
Belarus,1997,260.0389709
Belarus,1998,254.2679443
Belarus,1999,247.3604736
Belarus,2000,254.9804077
Belarus,2001,247.8719482
Belarus,2002,256.4414978
Belarus,2003,254.505188
Belarus,2004,284.9826355
Belarus,2005,284.0443726
Belarus,2006,302.0376587
Belarus,2007,294.6274109
Belarus,2008,298.3599854
Belarus,2009,282.0061646
Belarus,2010,305.4619751
Belarus,2011,299.9841003
Belarus,2012,324.4412231
Belarus,2013,293.8945618
Belarus,2014,294.0464172
Belarus,2015,266.0758667
Belarus,2016,271.6911011
Belarus,2017,275.7493591
Belarus,2018,305.3294983
Belarus,2019,306.4761963
Belarus,2020,282.9342651
Belarus,2021,289.5438843
Belgium,1965,412.1369019
Belgium,1966,396.9577942
Belgium,1967,416.6843872
Belgium,1968,464.5223999
Belgium,1969,510.0322876
Belgium,1970,538.7019043
Belgium,1971,528.9381104
Belgium,1972,562.1693726
Belgium,1973,569.234375
Belgium,1974,549.3082275
Belgium,1975,497.9634399
Belgium,1976,520.5977783
Belgium,1977,515.2744751
Belgium,1978,537.7190552
Belgium,1979,557.2578735
Belgium,1980,528.7186279
Belgium,1981,499.7540283
Belgium,1982,469.3016357
Belgium,1983,429.504364
Belgium,1984,441.6411133
Belgium,1985,445.1695557
Belgium,1986,448.5486755
Belgium,1987,457.8580322
Belgium,1988,466.2415771
Belgium,1989,476.0842896
Belgium,1990,498.4208374
Belgium,1991,519.6057739
Belgium,1992,516.3150024
Belgium,1993,510.6575623
Belgium,1994,546.8049927
Belgium,1995,552.7207642
Belgium,1996,589.1821899
Belgium,1997,584.937561
Belgium,1998,602.0637817
Belgium,1999,588.4244385
Belgium,2000,603.4815674
Belgium,2001,602.8867188
Belgium,2002,597.3049927
Belgium,2003,626.1304932
Belgium,2004,629.1558838
Belgium,2005,618.7869263
Belgium,2006,621.7084961
Belgium,2007,621.8061523
Belgium,2008,639.1719971
Belgium,2009,580.6317139
Belgium,2010,621.5777588
Belgium,2011,565.7046509
Belgium,2012,551.7714844
Belgium,2013,562.1495361
Belgium,2014,534.1889648
Belgium,2015,558.7716064
Belgium,2016,565.6300659
Belgium,2017,573.1580811
Belgium,2018,599.5313721
Belgium,2019,579.5639648
Belgium,2020,517.8989258
Belgium,2021,559.557312
Brazil,1965,198.4220428
Brazil,1966,216.2623901
Brazil,1967,223.2675323
Brazil,1968,263.1499939
Brazil,1969,289.1420898
Brazil,1970,327.3740234
Brazil,1971,358.4047546
Brazil,1972,409.7676392
Brazil,1973,496.8573914
Brazil,1974,537.0142822
Brazil,1975,559.4674072
Brazil,1976,604.9069824
Brazil,1977,629.5377808
Brazil,1978,689.3278809
Brazil,1979,726.765686
Brazil,1980,711.4629517
Brazil,1981,679.8898926
Brazil,1982,695.9000854
Brazil,1983,678.3591309
Brazil,1984,707.1066284
Brazil,1985,738.999939
Brazil,1986,806.9593506
Brazil,1987,835.0771484
Brazil,1988,849.8987427
Brazil,1989,855.0307007
Brazil,1990,829.6463013
Brazil,1991,854.9750366
Brazil,1992,909.9146729
Brazil,1993,950.1196289
Brazil,1994,1010.050598
Brazil,1995,1057.778687
Brazil,1996,1122.855713
Brazil,1997,1197.934692
Brazil,1998,1240.1073
Brazil,1999,1269.917236
